Medicamento,Especie de destino,Reacciones Adversas
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,Caprino,Acidosis
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,Bovino,Acidosis
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,Gatos,Acidosis
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,Porcino,Acidosis
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,Perros,Acidosis
CEPHACARE SABOR 50 mg COMPRIMIDOS PARA GATOS Y PERROS,Perros,Emesis
CEPHACARE SABOR 50 mg COMPRIMIDOS PARA GATOS Y PERROS,Gatos,Emesis
CIPER – PULVIZOO 100 mg/ml,Bovino,Ninguna
ENROX SABOR 15 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,Emesis
ENROX SABOR 15 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Emesis
LINCOXIL 400 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA # LINCOXIL 40% POLVO ORAL,Porcino,Inflamación local
NOBILIS SALENVAC T,Gallinas,Inflamación en el punto de inyección
OVIPAST PLUS,Ovino,Inflamación en el punto de inyección
"PANACUR PASTA ORAL 187,5 mg/g PARA PERROS Y GATOS",Gatos,Diarrea
"PANACUR PASTA ORAL 187,5 mg/g PARA PERROS Y GATOS",Perros,Diarrea
NICILAN 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Discrasia sanguínea
CLORTETRACICLINA MAYMO,Porcino,Alergia
CLORURO DE POTASIO 149 mg/ml (2M) MINIPLASCO BRAUN USO VETERINARIO,Perros,Dolor en el punto de inyección
CLORURO DE POTASIO 149 mg/ml (2M) MINIPLASCO BRAUN USO VETERINARIO,Gatos,Dolor en el punto de inyección
CLORVIOGEN LAMONS,Ovino,Ninguna
CLORVIOGEN LAMONS,Caprino,Ninguna
CLORVIOGEN LAMONS,Gatos,Ninguna
CLORVIOGEN LAMONS,Bovino,Ninguna
CLORVIOGEN LAMONS,Porcino,Ninguna
CLORVIOGEN LAMONS,Perros,Ninguna
COCCIVEX 200 mg/ml # COCCIVEEX,Pavos,Ninguna
COCCIVEX 200 mg/ml # COCCIVEEX,Gallinas,Ninguna
COLIPLUS SOLUCION,Porcino,Ninguna
RONAXAN 20 mg COMPRIMIDOS # RONAXAN COMPRIMIDOS 20,Gatos,ESOFAGITIS
RONAXAN 20 mg COMPRIMIDOS # RONAXAN COMPRIMIDOS 20,Perros,ESOFAGITIS
"CORTEXONA RETARD 1,25 mg/ml SUSPENSION INYECTABLE",Perros,Úlcera gástrica
"CORTEXONA RETARD 1,25 mg/ml SUSPENSION INYECTABLE",Gatos,Úlcera gástrica
REVERTOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Hipotensión
REVERTOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Hipotensión
PROTEQFLU SUSPENSION INYECTABLE PARA CABALLOS,Caballos,Absceso en el punto de inyección
DEYANIL RETARD,Perros,Alteración del comportamiento
PROTEQFLU-TE SUSPENSION INYECTABLE PARA CABALLOS,Caballos,Inflamación en el punto de inyección
DOLETHAL,Perros,Temblor muscular
DOLETHAL,Gatos,Temblor muscular
DOMTOR,Perros,Dolor en el punto de inyección
DOMTOR,Gatos,Dolor en el punto de inyección
DFV DOXIVET 50 mg/g,Pavos,Alergia
DEPO-MODERIN,Caballos,Cushing
DEPO-MODERIN,Perros,Cushing
DEPO-MODERIN,Gatos,Cushing
DRONCIT 50 mg COMPRIMIDOS # DRONCIT COMPRIMIDOS,Perros,Diarrea
DRONCIT 50 mg COMPRIMIDOS # DRONCIT COMPRIMIDOS,Gatos,Diarrea
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,Bovino,Dolor en el punto de inyección
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,Ovino,Dolor en el punto de inyección
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,Perros,Dolor en el punto de inyección
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,Porcino,Dolor en el punto de inyección
GENTAMOX SUSPENSION INYECTABLE,Bovino,Insuficiencia renal
GENTAMOX SUSPENSION INYECTABLE,Porcino,Insuficiencia renal
EFICUR 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Bovino,Anafilaxia
EFICUR 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Porcino,Anafilaxia
ENDOEX 50 mg/ml SOLUCION INYECTABLE,Ovino,Inflamación en el punto de inyección
ENDOEX 50 mg/ml SOLUCION ORAL,Bovino,Ninguna
ENDOEX 50 mg/ml SOLUCION ORAL,Ovino,Ninguna
LINCOVALL 400 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA # LINCOVALL POLVO ORAL,Porcino,Irritabilidad
FORTEKOR SABOR 20 mg COMPRIMIDOS PARA PERROS # FORTEKOR SABOR 20 mg,Perros,Emesis
EQ-ZONA,Caballos,Edema en las extremidades
EQVALAN PASTA ORAL # EQUALAN PASTA ORAL,Caballos,Edema local
ERES INYECTABLE,Porcino,Ninguna
ERES INYECTABLE,Gatos,Ninguna
ERES INYECTABLE,Bovino,Ninguna
ERES INYECTABLE,Perros,Ninguna
EQVALAN DUO,Caballos,Inflamación local
"ZACTRAN 150 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO Y PORCINO",Porcino,Inflamación en el punto de inyección
"ZACTRAN 150 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO Y PORCINO",Bovino,Inflamación en el punto de inyección
"ZACTRAN 150 mg/ml SOLUCION INYECTABLE PARA BOVINO, OVINO Y PORCINO",Ovino,Inflamación en el punto de inyección
EXCENEL EVO # EXCENEL RTU,Bovino,Anafilaxia
EXCENEL EVO # EXCENEL RTU,Porcino,Anafilaxia
TIAMULAB 125 mg/ml # TIAMULAB,Porcino,Reacción de hipersensibilidad
FACILPART 10 U.I./ ml SOLUCION INYECTABLE # FACILPART,Ovino,Ninguna
NOROCLAV 175 mg SUSPENSION INYECTABLE,Perros,Inflamación en el punto de inyección
NOROCLAV 175 mg SUSPENSION INYECTABLE,Bovino,Inflamación en el punto de inyección
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,Perros,Acidosis
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,Bovino,Acidosis
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,Caprino,Acidosis
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,Gatos,Acidosis
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,Porcino,Acidosis
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,Ovino,Acidosis
FLUBENZIM 50 mg/g PREMEZCLA MEDICAMENTOSA,Pavos,Ninguna
FLUVEX 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y EQUINO,Caballos,Reacción en el punto de inyección
FLUVEX 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y EQUINO,Bovino,Reacción en el punto de inyección
FLUVEX 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y EQUINO,Porcino,Reacción en el punto de inyección
FLUMESYVA 200 mg/ml CONCENTRADO PARA SOLUCION ORAL # FLUMESYVA LIQUIDO 20%,Porcino,Hiperexcitación
FLUMESYVA 200 mg/ml CONCENTRADO PARA SOLUCION ORAL # FLUMESYVA LIQUIDO 20%,Pavos,Hiperexcitación
METACAM 5 MG/ML SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Diarrea sanguinolenta
METACAM 5 MG/ML SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Diarrea sanguinolenta
"METACAM 0,5 mg/ml SUSPENSION ORAL GATOS Y COBAYAS",Gatos,Úlcera gástrica
INGELVAC CIRCOFLEX SUSPENSION INYECTABLE PARA CERDOS,Porcino,Reacción anafilactoide
FLUQUINOL 100 mg/ml,Porcino,Hiperexcitación
FLUQUINOL 100 mg/ml,Pavos,Hiperexcitación
NEOMICINA LABIANA 500 mg/g POLVO ORAL,Porcino,Ninguna
"FORTEKOR SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 2,5 mg",Gatos,Incoordinación
"FORTEKOR SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 2,5 mg",Perros,Incoordinación
FORTEKOR SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 5 mg,Perros,Incoordinación
FORTEKOR SABOR 5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 5 mg,Gatos,Incoordinación
FRONTLINE COMBO SPOT-ON GATO,Gatos,Reacción en el punto de inyección
FRONTLINE COMBO SPOT-ON PERRO 20-40 kg,Perros,Decoloración local de la piel
FRONTLINE SPRAY,Perros,Hipersalivación
FRONTLINE SPRAY,Gatos,Hipersalivación
NICILAN 400 mg/100 mg COMPRIMIDOS PARA PERROS,Perros,Discrasia sanguínea
NICILAN 200 mg/50 mg COMPRIMIDOS PARA PERROS,Perros,Discrasia sanguínea
GENTASOL SOLUCION INYECTABLE,Bovino,Náusea
GENTASOL SOLUCION INYECTABLE,Perros,Náusea
GENTASOL SOLUCION INYECTABLE,Gatos,Náusea
GENTAVALL 5 mg/ml SOLUCION INYECTABLE,Perros,Reacción en el punto de inyección
GENTAVALL 5 mg/ml SOLUCION INYECTABLE,Gatos,Reacción en el punto de inyección
ONSIOR 6 mg COMPRIMIDOS PARA GATOS,Gatos,Letargia
ISOVET 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,Caballos,Hipotensión
ISOVET 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,Gatos,Hipotensión
ISOVET 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,Perros,Hipotensión
LACTATO DE RINGER BRAUN USO VETERINARIO,Caprino,Ninguna
LACTATO DE RINGER BRAUN USO VETERINARIO,Ovino,Ninguna
LACTATO DE RINGER BRAUN USO VETERINARIO,Perros,Ninguna
LACTATO DE RINGER BRAUN USO VETERINARIO,Bovino,Ninguna
LACTATO DE RINGER BRAUN USO VETERINARIO,Porcino,Ninguna
LACTATO DE RINGER BRAUN USO VETERINARIO,Gatos,Ninguna
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,Caprino,Hipofosfatemia
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,Perros,Hipofosfatemia
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,Bovino,Hipofosfatemia
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,Gatos,Hipofosfatemia
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,Porcino,Hipofosfatemia
GLUCOSAVET 10 g/100 ml SOLUCION PARA PERFUSION # GLUCOSADO 10% BRAUN USO VETERINARIO,Ovino,Hipofosfatemia
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Porcino,Ninguna
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Ovino,Ninguna
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Gatos,Ninguna
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Bovino,Ninguna
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Caprino,Ninguna
GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # GLUCOSAVET 5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Perros,Ninguna
"GLUCOSALINO ISOTONICO 3,6% BRAUN USO VETERINARIO",Gatos,Ninguna
"GLUCOSALINO ISOTONICO 3,6% BRAUN USO VETERINARIO",Perros,Ninguna
MEDETOR 1 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Bradicardia
MEDETOR 1 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Bradicardia
GLUCOSALINO 5% BRAUN USO VETERINARIO,Porcino,Taquicardia
GLUCOSALINO 5% BRAUN USO VETERINARIO,Ovino,Taquicardia
GLUCOSALINO 5% BRAUN USO VETERINARIO,Gatos,Taquicardia
GLUCOSALINO 5% BRAUN USO VETERINARIO,Caprino,Taquicardia
GLUCOSALINO 5% BRAUN USO VETERINARIO,Perros,Taquicardia
GLUCOSALINO 5% BRAUN USO VETERINARIO,Bovino,Taquicardia
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Ovino,Ninguna
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Caballos,Ninguna
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Porcino,Ninguna
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Perros,Ninguna
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Gatos,Ninguna
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Bovino,Ninguna
HEMO 125 mg/ml  SOLUCION INYECTABLE # HEMO 125 mg/ml solución inyectable,Caprino,Ninguna
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",Gatos,Dolor en el punto de inyección
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",Porcino,Dolor en el punto de inyección
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",Bovino,Dolor en el punto de inyección
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",Caprino,Dolor en el punto de inyección
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",Perros,Dolor en el punto de inyección
"HIPERTONICO SALINO 7,5 g/100 ml SOLUCION PARA PERFUSION PARA BOVINO, CABALLOS, OVINO, CAPRINO, PORCINO, PERROS Y GATOS # HIPERTONICO SALINO 7,5 g/100 ml BRAUN USO VETERINARIO",Ovino,Dolor en el punto de inyección
ECONOR 10% PREMEZCLA MEDICAMENTOS PARA PIENSO PARA CERDOS Y CONEJOS,Porcino,Edema local
PRADOXIN 100 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Alergia
HORMONIPRA,Ovino,Ninguna
HYONATE,Caballos,Inflamación local
IMIZOL,Bovino,Reacción local
IMIZOL,Perros,Reacción local
INDIGEST SOLUCION INYECTABLE # INDIGEST INYECTABLE,Ovino,Edema en el punto de inyección
INDIGEST SOLUCION INYECTABLE # INDIGEST INYECTABLE,Caprino,Edema en el punto de inyección
INDIGEST SOLUCION INYECTABLE # INDIGEST INYECTABLE,Porcino,Edema en el punto de inyección
INDIGEST SOLUCION INYECTABLE # INDIGEST INYECTABLE,Perros,Edema en el punto de inyección
INDIGEST SOLUCION INYECTABLE # INDIGEST INYECTABLE,Bovino,Edema en el punto de inyección
FLUBENOL PREMIX 60 mg/g PREMEZCLA MEDICAMENTOSA PARA PORCINO Y AVES # FLUBENOL PREMIX,Porcino,Ninguna
FLUBENOL PREMIX 60 mg/g PREMEZCLA MEDICAMENTOSA PARA PORCINO Y AVES # FLUBENOL PREMIX,Pavos,Ninguna
INMUNAIR 17.5,Gallinas,Ninguna
ISOFLO 100% p/p LIQUIDO PARA INHALACION DEL VAPOR # ISOFLO,Perros,Fallo cardíaco
ISOFLO 100% p/p LIQUIDO PARA INHALACION DEL VAPOR # ISOFLO,Gatos,Fallo cardíaco
ISOFLO 100% p/p LIQUIDO PARA INHALACION DEL VAPOR # ISOFLO,Caballos,Fallo cardíaco
CEVAC CHLAMYDOPHILA,Caprino,Reacción de hipersensibilidad
CEVAC CHLAMYDOPHILA,Ovino,Reacción de hipersensibilidad
IVOMEC PREMIX,Porcino,Ninguna
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Gatos,Ninguna
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Bovino,Ninguna
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Porcino,Ninguna
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Perros,Ninguna
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Caprino,Ninguna
LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO CABALLOS OVINO CAPRINO PORCINO PERROS Y GATOS # LACTATO-RINGERVET SOLUCION PARA PERFUSION PARA BOVINO EQUINO OVINO CAPRINO PORCINO PERROS Y GATOS,Ovino,Ninguna
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,Bovino,PANCREATITIS
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,Gatos,PANCREATITIS
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,Perros,PANCREATITIS
RAPIDEXON 2 mg/ml SOLUCION INYECTABLE,Porcino,PANCREATITIS
DIUREMICIN # FARCO DIURETICO,Gatos,Taquicardia
DIUREMICIN # FARCO DIURETICO,Bovino,Taquicardia
DIUREMICIN # FARCO DIURETICO,Perros,Taquicardia
LINALTEN,Gatos,Dolor en el punto de inyección
LINALTEN,Perros,Dolor en el punto de inyección
LINALTEN,Porcino,Dolor en el punto de inyección
LINCO-SPECTIN 100,Porcino,Irritabilidad
